epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
         1,   65.771,    0.005,          0.28389,          0.83481,           1.1187,       0.0909,        0.178,        0.481,         1.32,          0.16778,            6.088,           6.2558,       0.0522,        0.115,        0.852,         3.46
         2,  117.335,    0.005,          0.11942,          0.81417,          0.93359,       0.0612,        0.115,        0.428,         1.28,         0.049899,           6.1303,           6.1802,       0.0404,       0.0733,        0.713,         3.47
         3,  168.838,    0.005,           0.0781,          0.80333,          0.88143,        0.052,       0.0929,        0.369,         1.26,         0.039368,           6.0871,           6.1265,       0.0369,       0.0664,        0.858,         3.46
         4,  220.337,    0.005,         0.077412,           0.7887,          0.86611,        0.051,       0.0929,        0.362,         1.25,         0.037404,           6.1403,           6.1777,       0.0353,       0.0632,         0.68,         3.47
         5,  271.806,    0.005,         0.052394,          0.78277,          0.83517,       0.0427,       0.0764,        0.331,         1.24,          0.02768,           6.1502,           6.1779,       0.0327,       0.0564,         0.65,         3.47
         6,  323.346,    0.005,         0.047569,          0.78482,          0.83239,       0.0402,       0.0734,        0.282,         1.24,         0.054544,           6.1281,           6.1827,       0.0343,       0.0688,        0.725,         3.47
         7,  374.909,    0.005,         0.063383,          0.80032,           0.8637,        0.046,        0.084,        0.382,         1.25,         0.077949,           6.1192,           6.1972,       0.0341,       0.0767,        0.744,         3.46
         8,  426.489,    0.005,         0.080907,          0.78751,          0.86842,       0.0462,       0.0934,        0.327,         1.24,         0.050131,           6.0861,           6.1362,       0.0362,       0.0691,        0.855,         3.46
         9,  478.099,    0.005,          0.03692,          0.76563,          0.80255,       0.0367,       0.0651,        0.292,         1.21,         0.021908,           6.1458,           6.1678,       0.0287,         0.05,        0.635,         3.47
        10,  529.615,    0.005,         0.061673,          0.78383,           0.8455,       0.0413,       0.0817,        0.312,         1.23,         0.023274,           6.1302,           6.1535,       0.0288,        0.051,        0.678,         3.46
        11,  581.074,    0.005,         0.034943,          0.78107,          0.81601,       0.0349,        0.063,        0.301,         1.22,         0.022125,           6.1379,           6.1601,       0.0274,       0.0486,        0.658,         3.46
        12,  632.667,    0.005,         0.032863,          0.76317,          0.79603,       0.0322,       0.0588,        0.272,          1.2,         0.017481,           6.1454,           6.1629,       0.0263,       0.0454,        0.627,         3.47
        13,  684.232,    0.005,         0.028468,          0.77626,          0.80473,       0.0292,       0.0549,        0.257,         1.22,         0.023358,           6.0881,           6.1115,        0.026,        0.048,        0.841,         3.46
