epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_mae, e_rmse
    1,    66,          0.24896,          0.17679,         0.072178,         0.089937,          0.14079,          0.46047,          0.70095
    1,    67,          0.37017,          0.34822,         0.021955,          0.16105,          0.19759,          0.34429,          0.39245
    1,    68,         0.010963,        0.0044426,        0.0065202,          0.01351,         0.022318,          0.11364,          0.21589
    1,    69,         0.011891,        0.0052477,        0.0066436,         0.014777,         0.024257,          0.12661,          0.21719
    1,    70,          0.27135,          0.18331,         0.088045,         0.089302,          0.14336,          0.48262,          0.79485
    1,    71,          0.41771,          0.37806,         0.039656,          0.16306,          0.20589,          0.46087,          0.52723
    1,    72,          0.31676,          0.21989,         0.096868,         0.088188,          0.15702,          0.31588,           0.4309
    1,    73,          0.16663,          0.14976,         0.016875,         0.084381,          0.12958,          0.31696,          0.34799
    1,    74,          0.15155,         0.077471,         0.074082,         0.052205,           0.0932,          0.35913,          0.36455
    1,    75,          0.12273,         0.043708,         0.079022,         0.051477,         0.070004,          0.57379,          0.61185
    1,    76,          0.12859,          0.07767,         0.050918,         0.051638,         0.093319,          0.39193,          0.48573
    1,    77,           2.3078,            2.283,         0.024822,          0.21527,          0.50594,          0.31536,           0.3294
    1,    78,          0.61212,          0.60535,        0.0067646,          0.13863,          0.26053,          0.10001,            0.112
    1,    79,          0.68301,          0.18812,          0.49489,          0.10551,          0.14523,           1.1024,           1.8547
    1,    80,        0.0026013,       0.00025985,        0.0023415,        0.0042111,        0.0053976,         0.081555,         0.087241
    1,    81,          0.33285,           0.3234,        0.0094423,          0.09027,          0.19042,          0.10993,          0.14028
    1,    82,          0.42406,          0.41632,        0.0077446,          0.15053,          0.21605,          0.16263,          0.23528
    1,    83,          0.10259,          0.09858,        0.0040083,          0.04532,          0.10513,           0.1526,          0.16235
    1,    84,          0.37614,          0.35188,         0.024264,          0.14715,          0.19863,          0.26696,          0.35028
    1,    85,          0.06273,         0.051168,         0.011563,         0.040759,         0.075743,          0.22084,          0.23754
    1,    86,          0.51484,          0.50271,         0.012123,          0.12116,          0.23741,          0.18005,           0.2094
    1,    87,          0.07121,         0.059133,         0.012077,         0.049904,         0.081426,           0.2172,          0.25144
    1,    88,          0.23058,          0.20089,         0.029694,          0.09918,          0.15008,          0.28149,          0.38407
    1,    89,          0.29083,           0.2135,         0.077327,          0.12265,          0.15472,          0.47709,          0.58042
    1,    90,        0.0096534,       0.00011068,        0.0095428,        0.0027772,        0.0035228,          0.19697,          0.20831
    1,    91,         0.013726,       0.00034299,         0.013383,        0.0040626,        0.0062013,          0.19428,          0.20744
    1,    92,          0.21727,          0.20724,         0.010024,         0.095286,          0.15244,          0.19026,          0.26804
    1,    93,         0.039067,         0.033403,        0.0056635,         0.030578,         0.061198,         0.088098,           0.1008
    1,    94,          0.11312,         0.077365,         0.035758,         0.057833,         0.093136,          0.22535,          0.27323
    1,    95,          0.46269,          0.40315,         0.059538,          0.13539,          0.21261,           0.4569,          0.64587
    1,    96,          0.25205,          0.24135,         0.010694,          0.11215,           0.1645,          0.25234,          0.27702
    1,    97,         0.087299,         0.079861,        0.0074383,         0.076003,         0.094627,          0.17833,          0.22306
    1,    98,           1.6446,            1.546,         0.098631,           0.1851,          0.41634,          0.27075,          0.42159
    1,    99,          0.15091,          0.12547,         0.025438,         0.060412,          0.11861,          0.30004,          0.35247
    1,   100,          0.17153,          0.15118,          0.02035,          0.10107,          0.13019,          0.31474,          0.38213
    1,   101,          0.26848,          0.17373,         0.094751,         0.088361,          0.13957,          0.37312,          0.44835
    1,   102,          0.19464,         0.075318,          0.11932,         0.053088,         0.091895,           0.5601,          0.57599
    1,   103,           0.1068,         0.049438,         0.057366,         0.047193,         0.074452,          0.40079,          0.40388
    1,   104,           0.3061,          0.29244,         0.013664,          0.13689,          0.18108,          0.15853,          0.16388
    1,   105,          0.10581,         0.099384,         0.006425,         0.080573,          0.10556,          0.19512,          0.21472
    1,   106,          0.09967,         0.080857,         0.018814,         0.064672,         0.095215,          0.30466,           0.3645
    1,   107,          0.33731,          0.30275,          0.03456,          0.10962,          0.18424,          0.41447,          0.45534
    1,   108,          0.17232,         0.086378,         0.085939,         0.057421,         0.098412,          0.58619,          0.74942
    1,   109,           1.5987,          0.18251,           1.4162,          0.10047,          0.14305,           1.0247,           1.6088
    1,   110,          0.11865,         0.091697,          0.02695,         0.058931,           0.1014,          0.25256,          0.26261
    1,   111,          0.12207,         0.026198,         0.095874,          0.03048,         0.054198,          0.68065,          0.69019
    1,   112,           0.2374,          0.11184,          0.12555,         0.087021,          0.11198,          0.57431,          0.66816
    1,   113,          0.28388,          0.12038,           0.1635,         0.065368,          0.11618,          0.55981,          0.56972
    1,   114,          0.18376,          0.04184,          0.14192,         0.039428,         0.068492,          0.89595,          0.93864
    1,   115,          0.07552,          0.02592,           0.0496,         0.035717,         0.053909,           0.4301,          0.46016
    1,   116,         0.085993,         0.073962,          0.01203,          0.05177,         0.091065,           0.2637,          0.28011
    1,   117,           0.0437,         0.025772,         0.017928,         0.025866,         0.053755,          0.19119,          0.24676
    1,   118,          0.14467,         0.079101,         0.065568,         0.057544,         0.094175,          0.60002,          0.61932
    1,   119,          0.28543,          0.14909,          0.13634,          0.11344,          0.12929,          0.75615,           0.8241
    1,   120,          0.19947,          0.12989,         0.069574,         0.069341,          0.12068,          0.60739,          0.67437
    1,   121,         0.063388,         0.031462,         0.031926,         0.029091,         0.059394,          0.21796,          0.23932
    1,   122,          0.09499,         0.083179,         0.011811,         0.065783,         0.096572,          0.22852,          0.27502
    1,   123,         0.086912,         0.065427,         0.021485,         0.056328,         0.085649,          0.20645,          0.23217
    1,   124,          0.27418,          0.16414,          0.11003,         0.098549,          0.13566,          0.48903,          0.62297
    1,   125,           0.1199,          0.11664,        0.0032586,         0.090733,          0.11436,         0.099988,          0.11914
    1,   126,          0.23705,          0.22052,         0.016529,          0.10601,          0.15724,          0.26863,          0.31139
    1,   127,          0.19614,          0.10967,          0.08647,         0.074397,          0.11089,          0.35639,          0.39566
    1,   128,          0.16328,        0.0077549,          0.15552,         0.015899,         0.029487,          0.76346,          0.79961
    1,   129,          0.19889,         0.097282,           0.1016,         0.066586,          0.10444,          0.41119,          0.43432
    1,   130,          0.11329,         0.071465,         0.041823,         0.057959,         0.089514,          0.36452,          0.42785
    1,   131,           85.113,          0.10268,            85.01,         0.080509,           0.1073,            6.391,            12.35
    1,   132,          0.28329,         0.050484,          0.23281,         0.045887,         0.075235,           1.0901,           1.1281
    1,   133,          0.48012,          0.11789,          0.36223,         0.084381,          0.11497,          0.92964,           1.0889
    1,   134,          0.63175,         0.038969,          0.59279,         0.042551,           0.0661,           1.2594,           1.5395
    1,   135,           1.1889,          0.15776,           1.0312,         0.061305,            0.133,           1.6341,           1.6717
    1,   136,          0.93804,          0.22289,          0.71515,         0.076312,          0.15809,           1.8653,           2.1158
    1,   137,           0.5584,         0.086875,          0.47152,         0.073609,         0.098694,           1.3404,           1.4518
    1,   138,          0.51868,         0.091093,          0.42758,         0.070458,          0.10106,           1.0645,           1.2327
    1,   139,          0.41547,          0.06467,           0.3508,         0.058022,         0.085153,           1.0289,           1.2269
    1,   140,          0.76212,          0.64087,          0.12125,          0.20439,          0.26806,           0.5062,          0.56949
    1,   141,          0.40038,          0.30085,          0.09953,          0.14834,          0.18366,          0.51543,          0.54112
    1,   142,          0.30276,          0.19691,          0.10585,          0.10726,          0.14859,          0.59623,          0.66427
