epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
       144, 1260.449,     0.01,          0.05784,          0.11194,          0.39367,        0.129,        0.205,       0.0945,        0.113,           1.0908,          0.55918,           2.7683,        0.439,        0.867,        0.464,        0.514
       145, 1269.115,     0.01,         0.065246,         0.050597,          0.21704,        0.135,        0.211,       0.0458,       0.0551,          0.93804,          0.66407,           2.9302,        0.408,        0.804,        0.551,        0.584
       146, 1277.806,     0.01,         0.065688,         0.089913,          0.33543,        0.133,        0.205,       0.0723,       0.0772,           1.0798,          0.70966,           3.2088,        0.429,        0.863,        0.589,        0.619
       147, 1286.551,     0.01,         0.067687,         0.034455,          0.17105,        0.139,        0.216,       0.0283,       0.0345,           1.2817,          0.41995,           2.5416,        0.458,         0.94,        0.349,        0.412
       148, 1295.459,     0.01,         0.064183,         0.063538,           0.2548,        0.137,        0.215,       0.0569,        0.115,           1.0814,          0.35416,           2.1439,        0.437,        0.863,        0.294,        0.376
       149, 1304.288,     0.01,         0.086933,          0.12488,          0.46156,        0.147,        0.227,       0.0749,        0.121,           1.0556,          0.42595,           2.3335,        0.431,        0.853,        0.354,        0.421
       150, 1313.129,     0.01,         0.059901,         0.049139,          0.20732,        0.134,        0.209,       0.0461,       0.0709,          0.95493,           0.7707,            3.267,        0.408,        0.811,         0.64,        0.665
       151, 1321.851,     0.01,         0.061192,          0.11393,            0.403,        0.129,        0.198,       0.0817,        0.127,           1.0268,          0.97532,           3.9528,        0.417,        0.841,         0.81,        0.826
       152, 1330.576,     0.01,         0.070157,         0.073716,          0.29131,        0.139,        0.212,       0.0567,        0.102,           1.1124,          0.64651,           3.0519,        0.429,        0.876,        0.537,        0.571
       153, 1339.245,     0.01,         0.056688,         0.066719,          0.25684,        0.131,        0.203,       0.0612,       0.0809,           1.1299,          0.47824,           2.5646,        0.439,        0.883,        0.397,        0.456
       154, 1347.987,     0.01,          0.06123,         0.077059,          0.29241,        0.122,        0.197,       0.0566,       0.0814,           1.0292,          0.52071,           2.5913,        0.427,        0.842,        0.432,        0.488
       155, 1356.795,     0.01,         0.065278,         0.034174,           0.1678,        0.138,        0.216,       0.0315,       0.0478,          0.95028,          0.74168,           3.1753,        0.408,        0.809,        0.616,        0.644
       156, 1365.556,     0.01,         0.047097,           0.0822,           0.2937,        0.121,        0.184,       0.0739,          0.1,           1.1409,          0.93285,           3.9395,        0.432,        0.887,        0.775,        0.794
       157, 1374.230,     0.01,         0.075911,          0.08274,          0.32413,        0.144,        0.232,       0.0725,        0.101,           1.2168,          0.68019,           3.2574,        0.444,        0.916,        0.565,        0.599
       158, 1383.115,     0.01,         0.055842,         0.045844,          0.19337,        0.127,          0.2,       0.0345,       0.0422,          0.95718,          0.59005,           2.7273,        0.411,        0.812,         0.49,        0.532
       159, 1391.891,     0.01,         0.070997,         0.039623,          0.18987,        0.141,        0.222,       0.0327,       0.0405,           1.0101,          0.70482,           3.1246,        0.422,        0.835,        0.585,         0.62
       160, 1400.837,     0.01,         0.052657,         0.036567,          0.16236,        0.123,        0.193,       0.0303,       0.0346,            1.192,          0.50616,           2.7105,        0.442,        0.907,         0.42,        0.469
       161, 1409.659,     0.01,         0.067022,         0.039413,          0.18526,        0.139,        0.222,        0.036,       0.0574,           1.1116,          0.57433,           2.8346,        0.435,        0.875,        0.477,        0.522
       162, 1418.312,     0.01,         0.060248,         0.029853,          0.14981,        0.124,        0.197,       0.0259,       0.0284,          0.93685,          0.70116,           3.0403,        0.407,        0.804,        0.582,        0.613
       163, 1426.972,     0.01,         0.053652,         0.034765,          0.15795,        0.129,        0.199,       0.0309,       0.0498,           1.0634,          0.83426,           3.5662,        0.422,        0.856,        0.693,        0.715
       164, 1435.803,     0.01,         0.056188,         0.051695,          0.21127,        0.123,        0.191,       0.0368,       0.0586,           1.2043,          0.71191,           3.3401,        0.436,        0.911,        0.591,        0.619
       165, 1444.531,     0.01,         0.054682,         0.032386,          0.15184,        0.126,          0.2,       0.0278,       0.0335,           1.0588,          0.63605,           2.9669,        0.425,        0.854,        0.528,        0.566
       166, 1453.324,     0.01,         0.064605,          0.03234,          0.16163,        0.131,        0.213,       0.0282,       0.0309,          0.97495,          0.78934,            3.343,         0.41,         0.82,        0.655,        0.681
       167, 1462.089,     0.01,          0.04589,         0.041241,          0.16961,        0.114,        0.178,       0.0348,       0.0595,           1.2091,          0.71889,           3.3657,        0.437,        0.913,        0.597,        0.625
       168, 1470.896,     0.01,         0.069989,         0.027134,          0.15139,        0.139,        0.224,       0.0233,       0.0267,           1.1704,           0.4427,           2.4985,        0.439,        0.898,        0.368,        0.428
       169, 1479.846,     0.01,         0.060416,         0.059644,          0.23935,        0.128,        0.204,       0.0497,       0.0889,           0.9873,          0.37353,           2.1079,        0.412,        0.825,         0.31,        0.385
       170, 1488.736,     0.01,         0.059855,         0.051246,          0.21359,        0.132,        0.211,       0.0479,       0.0859,           1.1039,          0.55593,           2.7717,        0.427,        0.872,        0.462,        0.508
       171, 1497.511,     0.01,         0.061487,          0.02842,          0.14675,        0.127,          0.2,       0.0241,        0.027,           1.1361,          0.67057,           3.1478,        0.426,        0.885,        0.557,         0.59
       172, 1506.231,     0.01,         0.054047,         0.020765,          0.11634,        0.126,        0.197,       0.0155,       0.0185,           1.0299,          0.67479,           3.0543,        0.415,        0.843,         0.56,        0.596
       173, 1514.907,     0.01,         0.058322,         0.044043,          0.19045,        0.117,        0.188,       0.0286,       0.0407,          0.93615,           0.5671,           2.6375,        0.399,        0.803,        0.471,        0.516
       174, 1523.678,     0.01,         0.069039,         0.050023,          0.21911,        0.134,        0.214,       0.0359,       0.0456,          0.98531,          0.75428,           3.2481,        0.411,        0.824,        0.626,        0.659
       175, 1532.415,     0.01,         0.041686,          0.04987,           0.1913,        0.107,        0.172,       0.0446,       0.0511,           1.0731,          0.52878,           2.6594,        0.421,         0.86,        0.439,        0.488
       176, 1541.130,     0.01,         0.041308,          0.03733,           0.1533,        0.107,        0.174,       0.0335,       0.0462,            1.032,          0.67747,           3.0644,        0.417,        0.844,        0.563,        0.598
       177, 1549.780,     0.01,          0.04789,         0.019152,          0.10534,        0.107,        0.172,       0.0153,       0.0195,           1.0785,          0.63849,            2.994,        0.425,        0.862,         0.53,        0.569
       178, 1558.616,     0.01,         0.040259,         0.017217,         0.091909,        0.107,        0.172,       0.0155,       0.0208,          0.98247,          0.64034,           2.9035,        0.412,        0.823,        0.532,        0.571
       179, 1567.530,     0.01,         0.063343,         0.028304,          0.14826,         0.13,        0.208,       0.0247,       0.0304,          0.92365,           0.8487,           3.4698,          0.4,        0.798,        0.705,        0.728
       180, 1576.451,     0.01,         0.039979,         0.046997,          0.18097,        0.106,        0.168,       0.0395,       0.0816,           1.1626,          0.78065,           3.5046,        0.433,        0.895,        0.648,        0.676
       181, 1585.168,     0.01,         0.070576,         0.049601,          0.21938,         0.13,        0.213,       0.0407,       0.0479,           1.1641,          0.60677,           2.9844,        0.431,        0.896,        0.504,        0.543
       182, 1593.852,     0.01,         0.041038,         0.031188,           0.1346,        0.109,        0.174,       0.0272,       0.0326,          0.94451,          0.76836,           3.2496,        0.405,        0.807,        0.638,        0.669
       183, 1602.623,     0.01,         0.047363,         0.043492,          0.17784,        0.119,        0.187,       0.0407,       0.0618,           1.0042,          0.58115,           2.7477,        0.414,        0.832,        0.483,        0.528
       184, 1611.360,     0.01,         0.040871,         0.026392,          0.12005,        0.107,        0.173,       0.0228,       0.0382,           1.0941,          0.59397,            2.876,        0.426,        0.869,        0.493,        0.537
       185, 1620.061,     0.01,         0.038118,         0.019363,         0.096209,        0.102,        0.165,       0.0169,       0.0215,          0.99614,           0.7118,           3.1315,         0.41,        0.829,        0.591,        0.625
       186, 1628.749,     0.01,         0.036082,         0.020908,         0.098807,        0.102,        0.163,       0.0189,       0.0251,            1.004,          0.68761,           3.0668,         0.41,        0.832,        0.571,        0.607
       187, 1637.553,     0.01,         0.035961,           0.0137,          0.07706,        0.101,        0.163,       0.0103,       0.0141,           1.1145,          0.56834,           2.8195,        0.424,        0.877,        0.472,        0.517
       188, 1646.417,     0.01,         0.039998,         0.040977,          0.16293,        0.109,         0.17,       0.0331,       0.0436,           1.0886,          0.66074,           3.0708,        0.421,        0.866,        0.549,        0.587
       189, 1655.248,     0.01,         0.038131,         0.025746,          0.11537,        0.103,        0.164,       0.0214,       0.0266,          0.97358,          0.72742,           3.1558,        0.404,        0.819,        0.604,        0.637
       190, 1664.059,     0.01,         0.043212,         0.026958,          0.12408,        0.102,        0.163,       0.0242,       0.0314,           1.0769,          0.69594,           3.1647,        0.416,        0.862,        0.578,         0.61
       191, 1672.700,     0.01,         0.045542,         0.037001,          0.15654,        0.107,        0.166,       0.0252,       0.0373,           1.1425,          0.70979,           3.2719,        0.426,        0.888,        0.589,        0.621
       192, 1681.405,     0.01,         0.045051,         0.036238,          0.15376,        0.107,        0.168,       0.0263,        0.033,           1.0675,          0.60928,           2.8953,        0.416,        0.858,        0.506,        0.544
       193, 1690.124,     0.01,         0.035183,         0.017536,         0.087792,          0.1,         0.16,       0.0149,       0.0178,           1.0751,          0.63481,           2.9795,        0.418,        0.861,        0.527,        0.565
       194, 1698.814,     0.01,         0.035021,         0.014894,         0.079704,       0.0991,        0.158,       0.0129,       0.0149,           1.0976,          0.71282,           3.2361,        0.418,         0.87,        0.592,        0.622
       195, 1707.543,     0.01,         0.033677,         0.019583,         0.092426,       0.0996,        0.157,       0.0177,       0.0261,           1.0288,          0.66738,           3.0309,        0.411,        0.842,        0.554,        0.589
       196, 1716.287,     0.01,         0.036202,         0.019057,         0.093374,        0.102,        0.162,       0.0162,       0.0198,           1.1255,          0.41911,           2.3828,         0.43,        0.881,        0.348,        0.416
       197, 1725.122,     0.01,         0.042784,         0.086054,          0.30095,        0.107,        0.175,       0.0761,        0.121,            1.181,          0.33665,           2.1909,        0.436,        0.902,         0.28,        0.364
       198, 1733.926,     0.01,         0.045593,         0.097131,          0.33699,        0.104,        0.168,       0.0684,        0.126,           1.1086,          0.40234,           2.3156,        0.421,        0.874,        0.334,        0.401
       199, 1742.817,     0.01,          0.03798,         0.056703,          0.20809,        0.101,        0.163,        0.047,       0.0662,          0.97397,          0.80043,           3.3753,        0.401,        0.819,        0.665,        0.693
       200, 1751.583,     0.01,         0.043701,         0.092661,          0.32168,        0.106,        0.166,       0.0627,        0.123,          0.95571,           0.9164,           3.7049,        0.398,        0.812,        0.761,        0.782
       201, 1760.253,     0.01,         0.033559,         0.047235,          0.17526,          0.1,        0.156,       0.0443,       0.0946,           1.1055,          0.58781,            2.869,        0.422,        0.873,        0.488,        0.535
       202, 1769.329,     0.01,         0.035137,         0.042057,          0.16131,       0.0993,        0.161,       0.0388,         0.08,           1.0428,          0.45813,           2.4172,        0.416,        0.848,         0.38,        0.448
       203, 1778.000,     0.01,           0.0402,         0.040736,          0.16241,        0.107,        0.169,       0.0361,       0.0734,           1.0399,          0.55625,           2.7086,        0.413,        0.847,        0.462,        0.515
       204, 1786.731,     0.01,         0.034954,         0.024803,          0.10936,          0.1,        0.159,       0.0227,       0.0402,           1.0069,          0.86658,           3.6067,        0.404,        0.833,         0.72,        0.745
       205, 1795.352,     0.01,         0.033968,         0.080784,          0.27632,        0.103,        0.157,       0.0727,       0.0951,          0.98803,          0.93455,           3.7917,        0.403,        0.825,        0.776,        0.801
       206, 1804.129,     0.01,         0.030693,         0.082526,          0.27827,       0.0944,        0.151,        0.073,       0.0997,           1.0051,           0.7146,           3.1489,        0.407,        0.832,        0.593,        0.631
