epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
        35,  311.105,     0.01,          0.36201,          0.21147,          0.99642,        0.329,        0.503,         0.16,        0.191,           1.5996,           1.0705,           4.8111,        0.574,         1.05,        0.889,        0.926
        36,  319.991,     0.01,          0.32855,          0.16481,          0.82299,        0.324,         0.49,        0.133,        0.142,           1.5326,           1.1463,           4.9716,         0.57,         1.03,        0.952,        0.982
        37,  328.786,     0.01,          0.34892,          0.10324,          0.65862,        0.328,        0.506,       0.0936,        0.114,           1.7021,          0.93239,           4.4993,        0.582,         1.08,        0.774,        0.815
        38,  337.530,     0.01,          0.36967,         0.091416,          0.64392,        0.329,        0.499,       0.0607,       0.0898,           1.8539,          0.60666,           3.6739,        0.592,         1.13,        0.504,        0.575
        39,  346.219,     0.01,          0.36573,          0.13569,           0.7728,        0.334,        0.507,        0.105,         0.12,           1.8367,            1.224,           5.5087,        0.593,         1.13,         1.02,         1.05
        40,  354.916,     0.01,          0.36484,          0.14076,          0.78713,        0.327,        0.492,        0.118,         0.13,           1.5712,          0.84713,           4.1126,        0.569,         1.04,        0.703,        0.749
        41,  363.696,     0.01,          0.32694,         0.093823,          0.60841,         0.32,        0.488,       0.0877,        0.118,           1.5118,           1.1243,           4.8846,        0.564,         1.02,        0.934,        0.967
        42,  372.417,     0.01,           0.3508,         0.067898,           0.5545,        0.316,        0.479,       0.0591,        0.075,           1.4648,          0.68665,           3.5247,        0.555,            1,         0.57,        0.634
        43,  381.117,     0.01,          0.30547,          0.11285,          0.64402,        0.307,        0.464,       0.0828,       0.0996,           1.5169,            1.101,           4.8199,        0.562,         1.02,        0.914,        0.951
        44,  389.889,     0.01,          0.29677,          0.17704,          0.82791,        0.305,        0.462,        0.128,        0.148,           1.5206,          0.43994,           2.8404,        0.558,         1.02,        0.365,        0.464
        45,  398.810,     0.01,          0.27922,          0.18441,          0.83245,        0.298,        0.445,        0.164,        0.194,           1.6308,          0.97032,           4.5417,        0.569,         1.06,        0.806,        0.852
        46,  407.649,     0.01,          0.27412,         0.082137,          0.52053,        0.294,        0.443,       0.0753,       0.0917,           1.5744,          0.97338,           4.4945,        0.564,         1.04,        0.808,        0.851
        47,  416.380,     0.01,          0.26048,          0.05843,          0.43577,        0.282,        0.433,       0.0477,       0.0597,           1.5218,          0.82906,           4.0089,        0.557,         1.02,        0.688,         0.74
        48,  425.013,     0.01,          0.24644,         0.067729,          0.44962,         0.27,        0.417,       0.0549,       0.0681,           1.4912,           1.0015,           4.4956,        0.553,         1.01,        0.832,        0.873
        49,  433.816,     0.01,          0.27461,         0.056467,          0.44401,        0.258,        0.412,       0.0454,       0.0506,           1.6656,          0.97612,           4.5939,        0.566,         1.07,        0.811,        0.855
        50,  442.563,     0.01,          0.22709,         0.034207,          0.32971,        0.256,         0.41,       0.0301,       0.0366,           1.7262,          0.88991,           4.3959,        0.567,         1.09,        0.739,         0.79
        51,  451.292,     0.01,          0.22093,         0.051159,          0.37441,        0.249,          0.4,       0.0446,       0.0564,           1.5095,          0.93225,           4.3063,        0.544,         1.02,        0.774,         0.82
        52,  460.023,     0.01,          0.21622,         0.068394,           0.4214,        0.221,        0.365,       0.0495,       0.0676,           1.2843,           1.0784,           4.5194,        0.517,        0.941,        0.895,        0.936
        53,  468.892,     0.01,          0.20277,          0.05153,          0.35736,        0.214,        0.357,       0.0383,       0.0468,           1.1614,          0.87836,           3.7965,        0.494,        0.895,        0.729,        0.783
        54,  477.788,     0.01,          0.17195,         0.055918,          0.33971,        0.206,        0.346,       0.0465,       0.0542,           1.2304,           0.8024,           3.6376,        0.497,        0.921,        0.666,        0.722
        55,  486.373,     0.01,          0.12897,         0.034739,          0.23319,        0.181,        0.305,       0.0317,       0.0412,           1.3613,           1.1484,           4.8065,        0.506,        0.969,        0.954,        0.987
        56,  495.119,     0.01,           0.1439,         0.080305,          0.38482,        0.192,        0.328,       0.0731,        0.136,             1.38,           1.2295,           5.0687,        0.501,        0.975,         1.02,         1.05
        57,  503.916,     0.01,          0.14031,         0.070258,          0.35108,        0.189,        0.323,       0.0618,        0.108,           1.3216,           0.8172,           3.7732,        0.492,        0.955,        0.679,        0.732
        58,  512.600,     0.01,          0.11614,         0.036563,          0.22582,        0.171,        0.286,       0.0319,       0.0545,           1.1477,          0.62717,           3.0292,        0.465,         0.89,        0.521,         0.59
        59,  521.269,     0.01,          0.14445,         0.089826,          0.41392,        0.177,        0.293,       0.0695,       0.0868,           1.1986,          0.95668,           4.0686,        0.472,        0.909,        0.794,        0.842
        60,  530.051,     0.01,          0.10871,         0.089042,          0.37584,        0.164,        0.277,       0.0749,       0.0935,           1.3906,          0.48032,           2.8316,         0.49,        0.979,        0.399,        0.491
        61,  538.920,     0.01,          0.10802,          0.10938,          0.43616,         0.17,        0.278,       0.0918,        0.134,           1.1848,          0.63202,           3.0809,        0.465,        0.904,        0.525,        0.598
        62,  547.790,     0.01,         0.086497,         0.073569,           0.3072,        0.152,        0.253,       0.0675,       0.0881,           1.1001,          0.89235,           3.7772,        0.451,        0.871,        0.741,        0.791
        63,  556.503,     0.01,         0.086964,          0.07319,          0.30653,        0.152,        0.252,       0.0565,       0.0636,           1.0976,          0.77006,           3.4078,        0.447,         0.87,        0.639,        0.693
        64,  565.204,     0.01,         0.083498,         0.059498,          0.26199,        0.153,        0.243,       0.0506,       0.0597,           1.0992,          0.96799,           4.0032,        0.448,        0.871,        0.804,        0.845
        65,  573.904,     0.01,         0.078381,         0.057667,          0.25138,         0.15,         0.24,       0.0509,        0.065,           1.1506,          0.90873,           3.8768,        0.458,        0.891,        0.755,        0.802
        66,  582.716,     0.01,         0.074237,         0.044838,          0.20875,         0.14,        0.233,       0.0401,       0.0459,           1.1031,           0.9866,           4.0629,        0.453,        0.872,        0.819,        0.863
        67,  591.352,     0.01,         0.087691,         0.051861,          0.24327,        0.142,        0.232,       0.0446,       0.0505,           1.0366,          0.89355,           3.7172,        0.442,        0.845,        0.742,        0.788
        68,  600.108,     0.01,          0.07897,         0.046907,          0.21969,        0.151,        0.239,       0.0399,       0.0483,           1.1782,          0.76931,           3.4862,        0.461,        0.901,        0.639,        0.693
        69,  608.863,     0.01,          0.08166,         0.033063,          0.18085,        0.155,        0.244,       0.0277,        0.032,           1.1374,          0.90976,           3.8667,        0.454,        0.886,        0.755,        0.799
        70,  617.728,     0.01,         0.086349,         0.068487,          0.29181,         0.15,        0.236,       0.0521,       0.0659,           1.0663,          0.93661,           3.8761,        0.444,        0.857,        0.778,        0.821
        71,  626.490,     0.01,         0.082787,         0.050472,           0.2342,        0.145,         0.23,       0.0393,       0.0447,           1.0963,          0.77475,           3.4206,        0.448,        0.869,        0.643,        0.697
        72,  635.255,     0.01,         0.075697,         0.036285,          0.18455,        0.142,        0.228,       0.0321,       0.0362,           1.0566,          0.81515,           3.5021,         0.44,        0.854,        0.677,        0.723
        73,  644.023,     0.01,         0.078283,         0.045256,          0.21405,         0.14,        0.222,       0.0365,       0.0451,           1.2224,          0.73398,           3.4243,         0.46,        0.918,        0.609,        0.662
        74,  652.801,     0.01,         0.098707,         0.059095,          0.27599,        0.159,        0.253,       0.0468,       0.0563,           1.3378,           0.8224,            3.805,        0.474,         0.96,        0.683,        0.732
        75,  661.527,     0.01,          0.08615,         0.064001,          0.27815,        0.159,         0.25,       0.0491,       0.0589,           1.1528,          0.73721,           3.3644,        0.449,        0.891,        0.612,        0.661
        76,  670.205,     0.01,         0.070323,         0.058735,          0.24653,         0.14,        0.221,        0.049,       0.0535,           1.0022,          0.92197,           3.7681,        0.429,        0.831,        0.766,        0.804
        77,  678.905,     0.01,         0.073998,          0.11646,          0.42339,        0.146,        0.233,       0.0923,        0.107,           1.1525,          0.56925,           2.8603,        0.449,        0.891,        0.473,        0.537
        78,  687.797,     0.01,         0.071797,         0.090977,          0.34473,        0.145,        0.225,       0.0741,       0.0843,           1.1545,          0.70492,           3.2693,        0.451,        0.892,        0.585,        0.639
        79,  696.701,     0.01,         0.067924,         0.071836,          0.28343,         0.14,        0.223,         0.06,       0.0664,           1.0284,           0.7925,           3.4059,        0.433,        0.842,        0.658,        0.702
        80,  705.361,     0.01,         0.070925,         0.073684,          0.29198,        0.144,        0.227,       0.0655,       0.0936,           1.0547,          0.71368,           3.1958,        0.436,        0.853,        0.593,        0.639
        81,  714.026,     0.01,         0.069324,         0.064841,          0.26385,        0.142,        0.224,       0.0575,        0.062,           1.1045,          0.81662,           3.5544,        0.446,        0.873,        0.678,        0.721
        82,  722.744,     0.01,         0.070451,         0.059566,          0.24915,        0.141,        0.221,       0.0551,       0.0624,           1.1576,          0.44566,           2.4946,        0.452,        0.893,         0.37,        0.449
        83,  731.598,     0.01,          0.06692,           0.1655,          0.56342,        0.138,         0.22,        0.144,        0.172,           1.2304,          0.46693,           2.6312,        0.463,        0.921,        0.388,        0.467
        84,  740.471,     0.01,          0.07081,          0.16105,          0.55397,        0.139,        0.222,        0.132,         0.15,           1.1187,          0.78375,           3.4699,         0.45,        0.878,        0.651,        0.698
        85,  749.204,     0.01,         0.069283,         0.076254,          0.29804,        0.144,        0.225,        0.063,       0.0764,            1.014,           0.7262,           3.1926,        0.431,        0.836,        0.603,        0.646
        86,  758.078,     0.01,          0.06677,         0.074477,           0.2902,         0.14,        0.216,       0.0601,       0.0724,           1.1387,          0.96676,            4.039,         0.45,        0.886,        0.803,        0.834
        87,  766.946,     0.01,         0.070261,          0.09699,          0.36123,        0.146,        0.225,       0.0787,       0.0925,           1.2322,          0.49847,           2.7276,        0.458,        0.922,        0.414,        0.478
        88,  775.734,     0.01,         0.063899,          0.11315,          0.40335,        0.136,        0.216,        0.104,         0.12,           1.1125,          0.69829,           3.2074,        0.449,        0.876,         0.58,         0.63
        89,  784.465,     0.01,         0.081311,          0.11852,          0.43687,        0.152,        0.241,       0.0936,        0.103,           1.0538,          0.69715,           3.1452,        0.442,        0.852,        0.579,         0.63
        90,  793.120,     0.01,         0.090413,         0.075106,          0.31573,        0.165,        0.257,       0.0594,         0.07,          0.99943,          0.52445,           2.5728,         0.43,         0.83,        0.435,        0.495
        91,  801.759,     0.01,           0.0892,         0.064668,           0.2832,        0.155,        0.243,       0.0532,       0.0614,           1.1655,          0.70354,           3.2761,        0.456,        0.896,        0.584,         0.63
        92,  810.250,     0.01,         0.079829,         0.055063,          0.24502,        0.155,        0.239,        0.047,       0.0552,           1.3044,          0.36712,           2.4058,         0.47,        0.948,        0.305,        0.391
        93,  818.833,     0.01,         0.077615,         0.078848,          0.31416,        0.151,        0.238,       0.0729,        0.135,           1.1567,          0.50248,           2.6641,        0.455,        0.893,        0.417,        0.485
        94,  827.353,     0.01,         0.089013,         0.058099,          0.26331,        0.159,        0.252,       0.0536,       0.0764,          0.98364,          0.58294,           2.7325,        0.427,        0.824,        0.484,        0.537
        95,  835.918,     0.01,         0.076647,         0.028203,          0.16126,        0.154,        0.238,        0.026,       0.0388,           1.1658,          0.88805,             3.83,        0.447,        0.897,        0.737,        0.766
        96,  844.383,     0.01,          0.10986,         0.059796,          0.28925,        0.164,        0.271,       0.0512,       0.0668,           1.4341,          0.66741,           3.4363,         0.47,        0.994,        0.554,        0.593
        97,  852.879,     0.01,         0.095031,          0.05989,           0.2747,        0.161,        0.265,       0.0527,       0.0645,           1.0566,          0.83494,           3.5615,        0.433,        0.854,        0.693,        0.725
        98,  861.413,     0.01,         0.088564,          0.06147,          0.27297,        0.155,        0.243,       0.0461,       0.0577,          0.95992,          0.62922,           2.8476,        0.417,        0.814,        0.522,        0.567
        99,  869.930,     0.01,         0.081604,         0.063301,          0.27151,        0.154,        0.241,        0.047,       0.0594,           1.1705,          0.76312,           3.4599,        0.449,        0.898,        0.634,        0.672
       100,  878.436,     0.01,         0.080903,         0.076655,          0.31087,         0.15,        0.233,       0.0613,       0.0665,           1.1192,          0.58632,           2.8782,        0.437,        0.878,        0.487,        0.532
       101,  886.884,     0.01,         0.071255,         0.096932,          0.36205,        0.141,        0.215,       0.0766,        0.088,          0.98378,          0.92554,           3.7604,        0.424,        0.824,        0.769,        0.795
       102,  895.323,     0.01,            0.073,         0.070552,          0.28466,        0.139,        0.217,       0.0614,       0.0817,           1.0625,            0.552,           2.7185,        0.434,        0.856,        0.458,        0.509
       103,  903.859,     0.01,         0.063304,          0.10092,          0.36606,        0.135,        0.213,       0.0875,       0.0983,           1.2127,          0.44592,           2.5505,        0.456,        0.914,         0.37,        0.439
       104,  912.334,     0.01,         0.068475,         0.099875,           0.3681,        0.141,        0.222,       0.0771,       0.0957,           1.1799,          0.65378,           3.1412,        0.456,        0.902,        0.543,        0.592
       105,  920.824,     0.01,         0.081776,         0.097664,          0.37477,        0.142,        0.226,       0.0859,       0.0925,          0.95342,          0.66514,           2.9488,        0.421,        0.811,        0.552,        0.593
       106,  929.336,     0.01,         0.087465,         0.072087,          0.30373,        0.153,        0.239,       0.0577,       0.0655,           1.0684,          0.80307,           3.4776,        0.436,        0.858,        0.667,        0.697
       107,  937.735,     0.01,         0.076876,         0.039041,            0.194,        0.146,        0.228,       0.0351,        0.049,            1.265,          0.53747,           2.8774,        0.459,        0.934,        0.446,        0.498
       108,  946.210,     0.01,          0.07474,         0.053269,          0.23455,        0.148,        0.231,       0.0484,       0.0721,           1.1051,          0.56062,           2.7869,        0.443,        0.873,        0.466,        0.519
       109,  957.439,     0.01,         0.082651,           0.0474,          0.22485,         0.15,        0.235,       0.0406,        0.047,          0.94644,          0.65804,           2.9206,        0.419,        0.808,        0.546,         0.59
       110,  965.954,     0.01,         0.075138,         0.042538,          0.20275,        0.149,        0.236,       0.0318,       0.0364,           1.1526,          0.58676,           2.9129,        0.442,        0.891,        0.487,        0.532
       111,  974.430,     0.01,         0.084815,         0.045686,          0.22187,        0.154,        0.243,       0.0358,       0.0441,           1.2691,          0.83207,           3.7653,        0.457,        0.935,        0.691,        0.721
       112,  982.840,     0.01,          0.10848,         0.088892,          0.37515,        0.166,        0.269,        0.076,       0.0823,           1.2324,          0.61856,           3.0881,        0.448,        0.922,        0.514,        0.553
       113,  991.433,     0.01,         0.056554,          0.10965,          0.38551,        0.133,        0.202,       0.0916,       0.0937,           1.0724,          0.56818,           2.7769,        0.434,         0.86,        0.472,        0.517
       114,  999.858,     0.01,         0.086867,         0.040187,          0.20743,        0.144,        0.231,       0.0347,       0.0424,           1.0257,          0.67502,           3.0508,        0.433,        0.841,         0.56,        0.601
       115, 1008.419,     0.01,         0.069149,         0.036557,          0.17882,        0.143,        0.225,       0.0298,       0.0355,           1.0908,          0.62033,           2.9517,        0.438,        0.867,        0.515,        0.556
       116, 1016.838,     0.01,         0.063255,         0.024181,           0.1358,        0.135,        0.212,       0.0196,       0.0243,           1.1311,           0.6916,           3.2059,        0.442,        0.883,        0.574,         0.61
       117, 1025.261,     0.01,         0.065139,          0.02721,          0.14677,        0.131,        0.205,         0.02,       0.0244,           1.0545,          0.69386,            3.136,        0.432,        0.853,        0.576,        0.612
       118, 1033.725,     0.01,         0.057897,         0.029342,          0.14592,        0.127,        0.201,       0.0258,       0.0389,           1.1203,          0.65788,           3.0939,        0.437,        0.879,        0.546,        0.583
       119, 1042.199,     0.01,         0.060538,         0.028258,          0.14531,        0.134,        0.208,       0.0258,       0.0324,           1.1337,          0.74098,           3.3567,        0.438,        0.884,        0.615,        0.646
       120, 1050.601,     0.01,         0.061345,         0.037766,          0.17464,        0.128,        0.197,       0.0298,        0.037,           1.0925,          0.64799,           3.0365,        0.431,        0.868,        0.538,        0.574
       121, 1059.164,     0.01,          0.06032,          0.05128,          0.21416,        0.131,        0.203,       0.0425,       0.0431,           1.1091,          0.73315,           3.3086,        0.435,        0.874,        0.609,        0.641
       122, 1067.690,     0.01,          0.06214,         0.048453,           0.2075,        0.132,        0.206,       0.0412,       0.0471,           1.2475,          0.65519,           3.2131,         0.45,        0.927,        0.544,        0.579
       123, 1076.502,     0.01,         0.064811,         0.023624,          0.13568,        0.141,        0.214,       0.0207,        0.026,           1.0219,          0.81192,           3.4577,        0.423,        0.839,        0.674,        0.699
       124, 1085.234,     0.01,         0.057427,         0.040583,          0.17917,        0.132,        0.203,       0.0374,       0.0698,           1.0397,          0.72902,           3.2268,        0.424,        0.847,        0.605,        0.634
       125, 1093.964,     0.01,         0.064105,         0.025598,           0.1409,        0.131,        0.203,       0.0212,       0.0294,           1.1863,          0.68382,           3.2378,        0.443,        0.904,        0.568,          0.6
       126, 1102.717,     0.01,          0.06893,         0.019263,          0.12672,        0.138,        0.212,       0.0152,       0.0181,           1.0299,          0.69818,           3.1244,        0.423,        0.843,         0.58,         0.61
       127, 1111.677,     0.01,          0.05858,         0.030136,          0.14899,        0.135,        0.207,       0.0276,       0.0423,           1.0113,          0.71584,           3.1588,        0.421,        0.835,        0.594,        0.624
       128, 1120.562,     0.01,         0.054193,         0.030517,          0.14574,        0.126,        0.196,       0.0257,       0.0339,           1.2246,          0.49052,           2.6962,        0.449,        0.919,        0.407,        0.459
       129, 1129.383,     0.01,         0.054673,         0.044937,          0.18948,        0.125,        0.199,       0.0406,        0.082,            1.134,          0.45712,           2.5053,        0.437,        0.884,         0.38,        0.435
       130, 1138.110,     0.01,         0.062234,         0.044544,          0.19587,        0.123,        0.197,       0.0341,       0.0588,           1.0685,          0.63943,           2.9868,        0.426,        0.858,        0.531,        0.567
       131, 1146.794,     0.01,          0.06056,         0.059655,          0.23953,        0.127,        0.197,       0.0331,       0.0863,           1.0351,          0.97308,           3.9543,        0.418,        0.845,        0.808,        0.824
       132, 1155.496,     0.01,         0.059254,         0.064944,          0.25409,        0.138,        0.205,       0.0593,        0.124,            1.103,          0.74992,           3.3528,        0.428,        0.872,        0.623,         0.65
       133, 1164.302,     0.01,         0.049475,          0.02865,          0.13543,         0.12,        0.189,       0.0242,       0.0311,           1.0871,          0.52936,           2.6752,        0.428,        0.866,         0.44,        0.487
       134, 1173.046,     0.01,          0.05152,         0.057968,          0.22542,        0.122,        0.194,       0.0469,       0.0634,           1.1601,          0.66896,           3.1669,         0.44,        0.894,        0.555,        0.593
       135, 1181.746,     0.01,         0.050891,         0.038497,          0.16638,        0.123,        0.191,       0.0335,       0.0393,           1.0113,          0.81047,           3.4427,        0.417,        0.835,        0.673,        0.698
       136, 1190.391,     0.01,         0.053279,         0.046292,          0.19216,        0.127,        0.196,       0.0413,       0.0713,          0.97906,          0.79335,           3.3591,        0.413,        0.822,        0.659,        0.685
       137, 1199.277,     0.01,         0.051317,         0.035543,          0.15795,        0.126,        0.192,       0.0329,       0.0446,           1.1405,          0.63459,           3.0443,        0.438,        0.887,        0.527,        0.566
       138, 1208.075,     0.01,         0.060905,         0.038404,          0.17612,        0.126,        0.196,       0.0268,       0.0477,           1.0757,          0.57391,           2.7974,        0.431,        0.861,        0.477,        0.522
       139, 1216.821,     0.01,         0.064212,         0.030955,          0.15708,        0.126,        0.199,       0.0213,       0.0315,          0.98014,          0.68053,           3.0217,        0.414,        0.822,        0.565,        0.599
       140, 1225.590,     0.01,         0.058753,         0.057118,          0.23011,        0.122,        0.191,       0.0481,       0.0516,           1.1645,          0.67416,            3.187,         0.44,        0.896,         0.56,        0.596
       141, 1234.331,     0.01,         0.054139,         0.064338,          0.24715,        0.126,        0.195,       0.0519,       0.0546,           1.1281,          0.75296,            3.387,        0.434,        0.882,        0.625,        0.654
       142, 1242.989,     0.01,         0.061022,          0.05144,          0.21534,        0.119,        0.184,       0.0432,       0.0497,           1.0628,          0.54628,           2.7016,        0.424,        0.856,        0.454,        0.495
       143, 1251.681,     0.01,         0.057113,          0.12635,          0.43615,        0.119,        0.189,       0.0974,        0.118,           1.2288,          0.41848,           2.4842,        0.454,         0.92,        0.347,        0.415
