#  index    confid      step    natoms          aene        maxfrc         score
     122         2        33        19       -6.0156        0.0871       -6.0156
     123         2        34        19       -6.0156        0.0998       -6.0156
     124         2        35        19       -6.0156        0.0941       -6.0156
     125         2        36        19       -6.0156        0.0905       -6.0156
     126         2        37        19       -6.0156        0.0771       -6.0156
     127         2        38        19       -6.0156        0.1258       -6.0156
     128         2        39        19       -6.0156        0.3098       -6.0156
     129         2        40        19       -6.0156        0.2176       -6.0156
     130         2        41        19       -6.0156        0.1554       -6.0156
     131         2        42        19       -6.0156        0.0711       -6.0156
     132         2        43        19       -6.0156        0.0666       -6.0156
     133         2        44        19       -6.0157        0.0539       -6.0157
     134         2        45        19       -6.0157        0.0508       -6.0157
     135         2        46        19       -6.0157        0.0763       -6.0157
     136         2        47        19       -6.0157        0.1065       -6.0157
     137         2        48        19       -6.0157        0.1142       -6.0157
     138         2        49        19       -6.0157        0.0723       -6.0157
     139         2        50        19       -6.0157        0.0497       -6.0157
     140         2        51        19       -6.0157        0.0382       -6.0157
     141         4         0        19       -6.0128        0.4117       -6.0128
     142         4         1        19       -6.0132        0.3501       -6.0132
     143         4         2        19       -6.0137        0.5477       -6.0137
     144         4         3        19       -6.0139        0.1940       -6.0139
     145         4         4        19       -6.0139        0.2052       -6.0139
     146         4         5        19       -6.0140        0.2055       -6.0140
     147         4         6        19       -6.0143        0.2029       -6.0143
     148         4         7        19       -6.0147        0.2253       -6.0147
     149         4         8        19       -6.0147        0.2951       -6.0147
     150         4         9        19       -6.0149        0.2825       -6.0149
     151         4        10        19       -6.0153        0.5854       -6.0153
     152         4        11        19       -6.0154        0.1876       -6.0154
     153         4        12        19       -6.0154        0.2804       -6.0154
     154         4        13        19       -6.0155        0.2574       -6.0155
     155         4        14        19       -6.0157        0.1787       -6.0157
     156         4        15        19       -6.0157        0.2215       -6.0157
     157         4        16        19       -6.0158        0.1891       -6.0158
     158         4        17        19       -6.0159        0.2284       -6.0159
     159         4        18        19       -6.0160        0.5817       -6.0160
     160         4        19        19       -6.0160        0.5100       -6.0160
     161         4        20        19       -6.0161        0.2848       -6.0161
     162         4        21        19       -6.0161        0.4501       -6.0161
     163         4        22        19       -6.0162        0.1630       -6.0162
     164         4        23        19       -6.0162        0.1557       -6.0162
     165         4        24        19       -6.0163        0.1742       -6.0163
     166         4        25        19       -6.0164        0.2132       -6.0164
     167         4        26        19       -6.0165        0.2979       -6.0165
     168         4        27        19       -6.0165        0.3578       -6.0165
     169         4        28        19       -6.0165        0.1861       -6.0165
     170         4        29        19       -6.0166        0.1936       -6.0166
     171         4        30        19       -6.0167        0.2185       -6.0167
     172         4        31        19       -6.0167        0.2663       -6.0167
     173         4        32        19       -6.0167        0.2433       -6.0167
     174         4        33        19       -6.0168        0.1794       -6.0168
     175         4        34        19       -6.0168        0.2224       -6.0168
     176         4        35        19       -6.0168        0.1933       -6.0168
     177         4        36        19       -6.0170        0.1023       -6.0170
     178         4        37        19       -6.0170        0.1278       -6.0170
     179         4        38        19       -6.0170        0.1472       -6.0170
     180         4        39        19       -6.0170        0.2164       -6.0170
     181         4        40        19       -6.0170        0.1922       -6.0170
     182         4        41        19       -6.0170        0.1225       -6.0170
     183         4        42        19       -6.0170        0.1093       -6.0170
     184         4        43        19       -6.0171        0.0820       -6.0171
     185         4        44        19       -6.0171        0.0716       -6.0171
     186         4        45        19       -6.0171        0.1366       -6.0171
     187         4        46        19       -6.0171        0.3603       -6.0171
     188         4        47        19       -6.0171        0.2514       -6.0171
     189         4        48        19       -6.0171        0.2336       -6.0171
     190         4        49        19       -6.0171        0.1926       -6.0171
     191         4        50        19       -6.0171        0.1177       -6.0171
     192         4        51        19       -6.0171        0.0976       -6.0171
     193         4        52        19       -6.0171        0.0741       -6.0171
     194         4        53        19       -6.0171        0.0654       -6.0171
     195         4        54        19       -6.0171        0.0716       -6.0171
     196         4        55        19       -6.0171        0.0618       -6.0171
     197         4        56        19       -6.0171        0.0490       -6.0171
     198         4        57        19       -6.0171        0.1417       -6.0171
     199         4        58        19       -6.0171        0.1313       -6.0171
     200         4        59        19       -6.0171        0.0848       -6.0171
     201         4        60        19       -6.0171        0.0509       -6.0171
     202         4        61        19       -6.0171        0.0383       -6.0171
# random_seed 1112
