#  index    confid      step    natoms          aene        maxfrc         score
     104         2        15        19       -6.0148        0.1992        0.2025
     109         2        20        19       -6.0150        0.1237        0.1691
     110         2        21        19       -6.0150        0.1056        0.1001
     111         2        22        19       -6.0150        0.1065        0.0783
     112         2        23        19       -6.0150        0.1085        0.0816
     113         2        24        19       -6.0151        0.1095        0.2551
     114         2        25        19       -6.0152        0.1148        0.1786
     115         2        26        19       -6.0152        0.1949        0.0858
     116         2        27        19       -6.0152        0.1539        0.0835
     117         2        28        19       -6.0153        0.1363        0.0777
     121         2        32        19       -6.0156        0.0992        0.0671
     122         2        33        19       -6.0156        0.0871        0.0782
     123         2        34        19       -6.0156        0.0998        0.0636
     124         2        35        19       -6.0156        0.0941        0.1543
     125         2        36        19       -6.0156        0.0905        0.0440
     126         2        37        19       -6.0156        0.0771        0.0432
     127         2        38        19       -6.0156        0.1258        0.3340
     130         2        41        19       -6.0156        0.1554        0.3220
     131         2        42        19       -6.0156        0.0711        0.6833
     132         2        43        19       -6.0156        0.0666        0.5591
     133         2        44        19       -6.0157        0.0539        0.2832
     134         2        45        19       -6.0157        0.0508        0.5721
     135         2        46        19       -6.0157        0.0763        0.3023
     136         2        47        19       -6.0157        0.1065        0.2793
     137         2        48        19       -6.0157        0.1142        0.2083
     138         2        49        19       -6.0157        0.0723        0.2255
     139         2        50        19       -6.0157        0.0497        0.2545
     140         2        51        19       -6.0157        0.0382        0.2607
     144         4         3        19       -6.0139        0.1940        0.1258
     152         4        11        19       -6.0154        0.1876        0.1097
     155         4        14        19       -6.0157        0.1787        0.0723
     157         4        16        19       -6.0158        0.1891        0.0839
     163         4        22        19       -6.0162        0.1630        0.1300
     164         4        23        19       -6.0162        0.1557        0.1220
     165         4        24        19       -6.0163        0.1742        0.0934
     169         4        28        19       -6.0165        0.1861        0.0339
     170         4        29        19       -6.0166        0.1936        0.4910
     174         4        33        19       -6.0168        0.1794        0.3489
     176         4        35        19       -6.0168        0.1933        0.7337
     177         4        36        19       -6.0170        0.1023        0.2079
     178         4        37        19       -6.0170        0.1278        0.2211
     179         4        38        19       -6.0170        0.1472        0.2037
     181         4        40        19       -6.0170        0.1922        0.1806
     182         4        41        19       -6.0170        0.1225        0.2790
     183         4        42        19       -6.0170        0.1093        0.3344
     184         4        43        19       -6.0171        0.0820        0.2425
     185         4        44        19       -6.0171        0.0716        0.4080
     186         4        45        19       -6.0171        0.1366        0.3212
     190         4        49        19       -6.0171        0.1926        0.1063
     191         4        50        19       -6.0171        0.1177        0.1060
     192         4        51        19       -6.0171        0.0976        0.0930
     193         4        52        19       -6.0171        0.0741        0.1992
     194         4        53        19       -6.0171        0.0654        0.5200
     195         4        54        19       -6.0171        0.0716        0.4010
     196         4        55        19       -6.0171        0.0618        0.3534
     197         4        56        19       -6.0171        0.0490        0.2055
     198         4        57        19       -6.0171        0.1417        0.1237
     199         4        58        19       -6.0171        0.1313        0.1056
     200         4        59        19       -6.0171        0.0848        0.1065
     201         4        60        19       -6.0171        0.0509        0.1085
     202         4        61        19       -6.0171        0.0383        0.1095
# random_seed 1112
