#  index    confid      step    natoms          aene        maxfrc         score
       0         8         0        19       -6.0894        0.1016        0.1016
       1         8         1        19       -6.0895        0.0915        0.0915
       2         8         2        19       -6.0895        0.1422        0.1422
       3         8         3        19       -6.0895        0.1144        0.1144
       4         8         4        19       -6.0895        0.1880        0.1880
       5         8         5        19       -6.0895        0.1595        0.1595
       6         8         6        19       -6.0895        0.0717        0.0717
       7         8         7        19       -6.0895        0.1122        0.1122
       8         8         8        19       -6.0895        0.0511        0.0511
       9         8         9        19       -6.0895        0.0483        0.0483
      22         3        12        19       -6.0538        0.1609        0.3248
      23         3        13        19       -6.0540        0.0989        0.2933
      24         3        14        19       -6.0540        0.1244        0.9170
      28         3        18        19       -6.0541        0.0786        0.7092
      29         3        19        19       -6.0541        0.0726        0.3491
      30         3        20        19       -6.0541        0.0514        0.6118
      31         3        21        19       -6.0541        0.0405        0.3361
      39         1         7        19       -6.0365        0.1726        0.3344
      40         1         8        19       -6.0366        0.1944        0.3194
      44         1        12        19       -6.0369        0.1492        0.2852
      45         1        13        19       -6.0369        0.1848        0.2288
      46         1        14        19       -6.0370        0.1762        0.2008
      47         1        15        19       -6.0370        0.1452        0.1609
      48         1        16        19       -6.0371        0.0866        0.0989
      49         1        17        19       -6.0371        0.1904        0.1244
      50         1        18        19       -6.0372        0.1107        0.4637
      51         1        19        19       -6.0372        0.1762        0.2995
      54         1        22        19       -6.0373        0.1691        0.2373
      55         1        23        19       -6.0374        0.1001        0.0786
      56         1        24        19       -6.0374        0.0783        0.0726
      57         1        25        19       -6.0374        0.0816        0.0514
      59         1        27        19       -6.0375        0.1786        0.0405
      60         1        28        19       -6.0375        0.0858        0.4457
      61         1        29        19       -6.0375        0.0835        0.3912
      62         1        30        19       -6.0375        0.0777        0.8059
      63         1        31        19       -6.0376        0.0671        0.3332
      64         1        32        19       -6.0376        0.0782        0.3069
      65         1        33        19       -6.0376        0.0636        0.2595
      66         1        34        19       -6.0376        0.1543        0.2051
      67         1        35        19       -6.0376        0.0440        0.1726
      68         1        36        19       -6.0376        0.0432        0.1944
      81         0        12        19       -6.0156        0.1258        0.5327
      82         0        13        19       -6.0156        0.1097        0.4849
      83         0        14        19       -6.0157        0.0723        0.3532
      84         0        15        19       -6.0157        0.0839        0.1492
      85         0        16        19       -6.0157        0.1300        0.1848
      86         0        17        19       -6.0157        0.1220        0.1762
      87         0        18        19       -6.0157        0.0934        0.1452
      88         0        19        19       -6.0157        0.0339        0.0866
      95         2         6        19       -6.0139        0.1806        0.1904
     101         2        12        19       -6.0147        0.1063        0.1107
     102         2        13        19       -6.0147        0.1060        0.1762
     103         2        14        19       -6.0147        0.0930        0.2119
