epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
        34, 1744.671,    0.005,         0.033016,           1.1625,           1.1955,       0.0332,       0.0607,        0.332,         1.47,         0.018077,           3.1126,           3.1307,       0.0254,       0.0436,        0.534,         2.45
        35, 1795.336,    0.005,         0.026946,           1.1566,           1.1835,       0.0295,       0.0544,        0.288,         1.45,         0.016977,           3.1171,           3.1341,       0.0247,       0.0425,        0.496,         2.45
        36, 1846.099,    0.005,         0.024313,           1.1539,           1.1783,       0.0279,        0.051,        0.313,         1.45,         0.015342,           3.1171,           3.1324,       0.0238,       0.0406,        0.483,         2.45
        37, 1896.817,    0.005,         0.026993,           1.1536,           1.1806,       0.0295,       0.0543,        0.304,         1.45,         0.015104,           3.1177,           3.1328,       0.0241,       0.0405,        0.451,         2.45
        38, 1947.480,    0.005,         0.031055,            1.151,           1.1821,       0.0311,       0.0579,        0.281,         1.45,         0.014292,           3.1276,           3.1419,       0.0233,       0.0395,        0.408,         2.45
        39, 1998.208,    0.005,         0.032052,           1.1628,           1.1948,       0.0302,       0.0572,        0.334,         1.46,         0.014391,           3.1155,           3.1299,       0.0232,       0.0395,         0.49,         2.45
        40, 2048.887,    0.005,         0.047756,           1.1549,           1.2027,       0.0351,       0.0713,        0.307,         1.45,         0.016153,           3.1227,           3.1389,       0.0245,       0.0413,        0.455,         2.45
        41, 2099.632,    0.005,         0.020411,           1.1474,           1.1678,        0.026,       0.0474,        0.292,         1.45,         0.013565,           3.1229,           3.1364,       0.0229,       0.0382,         0.41,         2.45
        42, 2150.261,    0.005,         0.021994,           1.1584,           1.1803,       0.0266,       0.0492,        0.306,         1.45,         0.013547,           3.1208,           3.1344,        0.023,       0.0383,        0.421,         2.45
        43, 2200.984,    0.005,         0.041475,           1.1559,           1.1974,       0.0338,       0.0667,        0.298,         1.45,         0.031238,           3.1212,           3.1525,       0.0302,       0.0564,         0.42,         2.45
        44, 2251.679,    0.005,         0.039535,           1.1544,           1.1939,       0.0309,       0.0665,        0.299,         1.45,         0.014883,           3.1217,           3.1366,       0.0244,       0.0399,        0.412,         2.45
        45, 2302.397,    0.005,           0.0211,           1.1555,           1.1766,       0.0262,       0.0486,        0.293,         1.45,         0.013135,           3.1192,           3.1324,       0.0222,       0.0374,        0.444,         2.45
        46, 2353.202,    0.005,         0.023443,           1.1511,           1.1746,       0.0278,       0.0508,        0.282,         1.44,         0.012961,           3.1216,           3.1346,       0.0223,       0.0376,        0.437,         2.45
        47, 2403.966,    0.005,         0.029042,           1.1498,           1.1789,       0.0298,       0.0559,        0.307,         1.44,         0.014126,           3.1187,           3.1329,        0.023,       0.0387,        0.426,         2.45
        48, 2454.753,    0.005,         0.040195,           1.1564,           1.1966,       0.0319,       0.0648,        0.295,         1.45,         0.013036,           3.1162,           3.1292,       0.0224,       0.0374,        0.467,         2.45
        49, 2505.519,    0.005,         0.035819,           1.1498,           1.1856,       0.0306,       0.0619,        0.309,         1.45,         0.011959,           3.1199,           3.1319,       0.0217,       0.0359,         0.42,         2.45
        50, 2556.330,    0.005,         0.024645,           1.1449,           1.1696,       0.0277,       0.0526,        0.286,         1.44,         0.011462,           3.1252,           3.1366,       0.0209,       0.0351,        0.391,         2.45
        51, 2607.088,    0.005,         0.022529,           1.1515,            1.174,       0.0261,       0.0494,        0.272,         1.44,         0.010567,           3.1274,            3.138,       0.0203,       0.0338,        0.392,         2.45
        52, 2657.833,    0.005,         0.042498,           1.1358,           1.1783,       0.0315,       0.0658,        0.308,         1.44,         0.011915,           3.1163,           3.1282,       0.0222,       0.0356,        0.457,         2.45
        53, 2708.659,    0.005,         0.036607,           1.1514,            1.188,       0.0312,       0.0618,        0.311,         1.45,          0.01336,           3.1141,           3.1275,       0.0233,       0.0382,        0.477,         2.45
        54, 2759.427,    0.005,         0.034462,            1.156,           1.1905,       0.0287,       0.0615,        0.295,         1.46,         0.013791,           3.1142,            3.128,       0.0232,       0.0379,        0.483,         2.45
        55, 2810.151,    0.005,         0.060497,            1.152,           1.2125,       0.0382,       0.0791,        0.323,         1.46,         0.018682,           3.1139,           3.1326,       0.0262,        0.045,        0.491,         2.45
        56, 2860.946,    0.005,         0.030066,             1.14,             1.17,       0.0272,       0.0571,        0.293,         1.44,         0.013609,           3.1219,           3.1355,       0.0233,       0.0388,        0.405,         2.45
        57, 2911.652,    0.005,          0.02194,           1.1474,           1.1694,       0.0264,       0.0494,        0.297,         1.45,         0.011248,           3.1192,           3.1304,       0.0209,       0.0351,        0.441,         2.45
        58, 2962.400,    0.005,           0.0263,            1.147,           1.1733,       0.0259,       0.0525,        0.289,         1.45,         0.011838,           3.1212,            3.133,        0.021,       0.0354,        0.441,         2.45
        59, 3013.159,    0.005,         0.022322,           1.1442,           1.1665,       0.0265,       0.0494,        0.294,         1.44,         0.011411,           3.1205,           3.1319,       0.0214,        0.035,        0.446,         2.45
        60, 3063.947,    0.005,         0.022448,           1.1448,           1.1672,       0.0258,       0.0495,        0.278,         1.44,          0.01105,           3.1183,           3.1294,       0.0207,       0.0345,        0.464,         2.45
        61, 3114.658,    0.005,         0.020852,           1.1439,           1.1647,       0.0249,       0.0456,         0.28,         1.44,         0.010543,           3.1201,           3.1306,       0.0209,       0.0341,        0.423,         2.45
        62, 3165.279,    0.005,         0.019158,           1.1408,           1.1599,       0.0247,       0.0468,        0.279,         1.44,         0.011926,            3.117,           3.1289,       0.0218,       0.0359,         0.43,         2.45
        63, 3216.041,    0.005,         0.022992,           1.1442,           1.1672,       0.0256,       0.0496,        0.286,         1.44,         0.011074,           3.1186,           3.1297,       0.0212,       0.0346,        0.422,         2.45
        64, 3266.802,    0.005,         0.044702,           1.1377,           1.1825,       0.0323,       0.0682,        0.302,         1.44,          0.01371,           3.1183,            3.132,       0.0226,       0.0381,        0.416,         2.45
        65, 3317.575,    0.005,         0.020735,           1.1469,           1.1676,       0.0239,       0.0471,        0.269,         1.45,         0.012936,           3.1245,           3.1374,       0.0206,       0.0365,        0.402,         2.45
        66, 3368.301,    0.005,         0.022148,           1.1457,           1.1678,        0.026,       0.0486,        0.297,         1.44,         0.012383,            3.118,           3.1304,       0.0217,       0.0363,        0.438,         2.45
        67, 3418.958,    0.005,         0.042541,           1.1332,           1.1757,       0.0314,       0.0671,        0.342,         1.45,         0.014238,           3.1093,           3.1235,       0.0234,       0.0388,        0.562,         2.46
        68, 3469.811,    0.005,           0.0277,           1.1511,           1.1788,       0.0278,        0.055,        0.316,         1.45,         0.013465,            3.119,           3.1324,        0.022,       0.0375,        0.438,         2.45
        69, 3520.664,    0.005,         0.020718,            1.144,           1.1647,       0.0251,       0.0468,        0.265,         1.44,         0.011285,            3.124,           3.1353,       0.0211,       0.0349,        0.403,         2.45
