epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_mae, e_rmse
    1,     1,           1.7913,            1.491,          0.30023,          0.25934,          0.40537,          0.78178,           1.1519
    1,     2,           1.0311,          0.91597,          0.11517,          0.19446,          0.31772,          0.55593,          0.67642
    1,     3,          0.64901,          0.43274,          0.21627,         0.089451,          0.21838,           1.0905,           1.1935
    1,     4,           3.2742,           2.8757,           0.3985,          0.40698,          0.56296,          0.95399,           1.3423
    1,     5,           0.2517,          0.16232,         0.089379,         0.070416,          0.13375,          0.26342,          0.39735
    1,     6,           1.4717,           0.1301,           1.3416,         0.081325,          0.11974,           1.0156,           1.5705
    1,     7,          0.79898,            0.673,          0.12599,          0.21828,          0.27234,          0.53467,          0.60733
    1,     8,          0.76758,           0.5051,          0.26248,           0.1349,          0.23594,           1.0454,           1.1551
    1,     9,          0.84741,          0.50439,          0.34302,          0.11081,          0.23577,           1.5283,           1.5554
    1,    10,          0.41778,          0.29583,          0.12195,          0.12268,          0.18056,          0.64115,          0.69194
    1,    11,          0.81576,           0.6075,          0.20826,          0.17513,          0.25875,          0.90431,           1.2088
    1,    12,           4.5452,           4.3357,          0.20944,          0.26327,          0.69125,          0.51938,          0.71693
    1,    13,          0.33937,          0.29001,         0.049362,          0.11576,          0.17878,           0.4755,          0.59005
    1,    14,          0.37424,           0.3122,         0.062031,         0.083891,          0.18549,          0.42467,          0.64217
    1,    15,          0.37812,          0.31467,         0.063454,          0.14531,          0.18622,          0.47177,          0.66711
    1,    16,          0.21613,          0.19423,         0.021902,          0.08192,          0.14631,          0.31214,          0.38053
    1,    17,          0.32727,          0.29084,         0.036433,           0.1033,          0.17903,          0.42912,           0.4629
    1,    18,          0.49938,          0.43265,         0.066728,          0.15476,          0.21836,          0.37501,          0.38396
    1,    19,          0.29288,          0.26008,         0.032795,          0.10348,           0.1693,          0.33906,          0.40337
    1,    20,          0.40393,          0.32073,         0.083197,          0.11606,          0.18801,           0.5412,          0.75138
    1,    21,          0.76207,          0.75471,        0.0073637,          0.18035,           0.2884,           0.1427,          0.15761
    1,    22,          0.32113,          0.30037,         0.020768,          0.12037,          0.18194,          0.25949,          0.29567
    1,    23,          0.16962,          0.14889,         0.020728,         0.072551,           0.1281,          0.29072,          0.34479
    1,    24,          0.38834,          0.37907,        0.0092677,          0.13436,          0.20439,          0.23801,          0.25567
    1,    25,         0.070049,         0.064378,        0.0056715,         0.039998,         0.084231,          0.19878,          0.20001
    1,    26,          0.14436,           0.1288,          0.01557,         0.058354,          0.11914,          0.22457,          0.32993
    1,    27,         0.060897,         0.058408,        0.0024885,          0.04534,         0.080231,         0.095313,          0.12343
    1,    28,          0.60004,           0.1771,          0.42295,          0.07351,           0.1397,           0.5617,          0.86425
    1,    29,          0.05374,         0.016264,         0.037476,         0.021045,         0.042336,          0.33034,          0.34142
    1,    30,          0.27151,         0.055881,          0.21563,         0.053356,         0.078477,          0.48594,          0.66573
    1,    31,          0.11254,       0.00042206,          0.11212,        0.0046131,        0.0068201,          0.55598,          0.58861
    1,    32,          0.23216,          0.20489,         0.027274,           0.1037,          0.15027,          0.16276,          0.22318
    1,    33,          0.14448,         0.099103,          0.04538,         0.064536,          0.10451,          0.24586,          0.28298
    1,    34,           2.0303,           2.0121,         0.018209,          0.23402,           0.4709,          0.29452,          0.35838
    1,    35,          0.31137,          0.25918,         0.052188,          0.11162,          0.16901,          0.53209,          0.60374
    1,    36,         0.038342,         0.024236,         0.014106,         0.036184,         0.051682,          0.24599,          0.31543
    1,    37,          0.18382,          0.12045,         0.063368,         0.058963,          0.11522,          0.31385,          0.42191
    1,    38,          0.18908,          0.15473,         0.034341,         0.088411,          0.13059,          0.30936,          0.49099
    1,    39,          0.45587,          0.42543,         0.030447,          0.15393,          0.21653,          0.34157,          0.46342
    1,    40,          0.11682,         0.070367,         0.046453,          0.05437,         0.088062,          0.23391,           0.2862
    1,    41,          0.13166,         0.056776,         0.074887,         0.036576,         0.079102,          0.62628,           0.6468
    1,    42,          0.25099,          0.20515,         0.045838,          0.11372,          0.15036,          0.42611,          0.52978
    1,    43,          0.47427,          0.40521,         0.069063,          0.16511,          0.21132,          0.41638,          0.43916
    1,    44,          0.23031,          0.19255,         0.037761,         0.077543,          0.14567,          0.44467,           0.5144
    1,    45,         0.045093,         0.037475,        0.0076179,         0.036195,         0.064265,          0.13602,          0.21388
    1,    46,           0.3311,          0.20409,          0.12701,            0.108,          0.14998,          0.74395,          0.93242
    1,    47,           0.2302,         0.092486,          0.13772,         0.063992,          0.10096,          0.54793,          0.57677
    1,    48,         0.079666,          0.07582,        0.0038463,          0.05048,         0.091411,          0.12801,          0.16421
    1,    49,         0.062358,         0.036937,         0.025421,         0.034318,         0.063802,          0.37789,          0.41092
    1,    50,          0.15088,         0.015395,          0.13549,         0.024606,          0.04119,          0.57856,          0.60937
    1,    51,          0.17765,          0.11294,         0.064711,         0.077038,          0.11156,          0.38723,          0.39944
    1,    52,          0.19548,          0.14939,          0.04609,         0.092949,          0.12831,          0.43901,          0.44696
    1,    53,          0.25239,          0.21023,         0.042156,           0.1009,          0.15222,          0.28967,          0.29374
    1,    54,          0.10754,          0.10139,        0.0061514,         0.073089,          0.10571,          0.12805,           0.1841
    1,    55,          0.34775,         0.072207,          0.27554,         0.057591,         0.089207,           0.4962,          0.69704
    1,    56,         0.091482,         0.043078,         0.048403,         0.039382,         0.068903,           0.2506,          0.30802
    1,    57,          0.20069,         0.046066,          0.15462,          0.02549,         0.071252,          0.45818,          0.56097
    1,    58,          0.18392,          0.15851,         0.025407,         0.097292,          0.13217,          0.29375,          0.35864
    1,    59,         0.077678,         0.031621,         0.046058,         0.038277,         0.059032,          0.31533,          0.32046
    1,    60,          0.05187,         0.015339,          0.03653,         0.024732,         0.041116,          0.30853,          0.32445
    1,    61,          0.12267,          0.11454,        0.0081317,         0.076087,          0.11235,          0.14943,          0.15676
    1,    62,          0.15229,          0.13557,         0.016725,          0.09095,          0.12223,          0.21631,          0.26238
    1,    63,          0.11746,         0.086495,         0.030965,         0.068044,         0.097634,          0.39014,          0.45759
    1,    64,         0.094395,         0.063746,         0.030649,         0.049265,         0.083817,          0.27379,           0.3775
