epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
        35,  395.138,     0.01,           0.7598,         0.083597,           1.0106,         0.33,        0.741,       0.0728,       0.0875,           1.0616,         0.018414,           1.1168,        0.368,        0.878,       0.0157,        0.017
        36,  406.404,     0.01,          0.79059,         0.054938,          0.95541,        0.328,        0.737,       0.0509,        0.057,           1.0604,         0.028008,           1.1444,        0.367,        0.878,       0.0239,       0.0245
        37,  417.448,     0.01,          0.66971,         0.037594,          0.78249,        0.328,        0.737,        0.035,       0.0415,           1.0508,          0.04995,           1.2007,        0.366,        0.874,       0.0426,       0.0429
        38,  428.579,     0.01,          0.68302,         0.080674,          0.92504,        0.325,         0.73,       0.0698,       0.0741,           1.0408,         0.058922,           1.2176,        0.365,         0.87,       0.0502,       0.0504
        39,  439.723,     0.01,          0.74729,         0.045797,          0.88468,        0.324,        0.726,       0.0415,       0.0521,           1.0385,         0.029045,           1.1257,        0.365,        0.869,       0.0248,        0.025
        40,  450.884,     0.01,           0.6594,         0.046037,          0.79751,        0.324,        0.727,       0.0418,       0.0564,           1.0316,        0.0042648,           1.0444,        0.365,        0.866,      0.00363,      0.00489
        41,  462.102,     0.01,          0.72209,         0.072731,          0.94028,        0.323,        0.723,       0.0603,       0.0685,           1.0161,         0.092899,           1.2948,        0.363,        0.859,       0.0792,       0.0792
        42,  473.484,     0.01,          0.71736,         0.058083,           0.8916,        0.321,        0.719,       0.0476,        0.064,           1.0063,          0.14192,           1.4321,        0.361,        0.855,        0.121,        0.121
        43,  484.606,     0.01,          0.73139,          0.10571,           1.0485,        0.318,         0.71,       0.0861,       0.0991,           1.0023,         0.048897,            1.149,        0.362,        0.853,       0.0417,       0.0417
        44,  495.693,     0.01,          0.70571,         0.079589,          0.94448,        0.318,         0.71,       0.0628,       0.0746,          0.98721,          0.14589,           1.4249,        0.359,        0.847,        0.124,        0.124
        45,  506.775,     0.01,          0.71661,         0.080911,          0.95935,        0.317,        0.708,       0.0691,       0.0767,          0.99394,         0.065334,           1.1899,         0.36,         0.85,       0.0557,       0.0557
        46,  517.888,     0.01,          0.69333,         0.080184,          0.93388,        0.317,        0.708,       0.0711,       0.0823,          0.97182,          0.10331,           1.2818,        0.357,         0.84,       0.0881,       0.0881
        47,  528.971,     0.01,          0.63764,         0.074965,          0.86253,        0.312,        0.695,        0.064,       0.0724,          0.95268,         0.025784,             1.03,        0.355,        0.832,        0.022,       0.0221
        48,  540.261,     0.01,          0.64084,         0.058475,          0.81626,         0.31,        0.689,       0.0502,       0.0572,           0.9371,         0.049198,           1.0847,        0.354,        0.825,       0.0419,       0.0422
        49,  551.635,     0.01,          0.69304,         0.046931,          0.83383,        0.309,        0.686,       0.0418,       0.0543,          0.93803,         0.053513,           1.0986,        0.354,        0.826,       0.0456,       0.0459
