epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
       147, 1637.147,     0.01,          0.11162,         0.050209,          0.26224,        0.171,        0.288,       0.0434,       0.0519,          0.12405,         0.019684,           0.1831,         0.18,          0.3,       0.0168,       0.0192
       148, 1648.556,     0.01,            0.102,         0.061168,           0.2855,        0.169,        0.277,       0.0535,       0.0575,         0.081266,         0.066097,          0.27956,        0.158,        0.243,       0.0563,       0.0603
       149, 1659.945,     0.01,         0.092703,         0.042531,           0.2203,        0.159,        0.261,       0.0362,       0.0447,         0.075223,         0.034058,           0.1774,        0.152,        0.234,        0.029,       0.0291
       150, 1671.061,     0.01,         0.085902,         0.046343,          0.22493,        0.161,        0.258,       0.0444,       0.0509,         0.084051,          0.10118,          0.38759,        0.159,        0.247,       0.0862,       0.0906
       151, 1682.061,     0.01,         0.085144,          0.13199,          0.48111,        0.158,        0.251,        0.119,        0.124,         0.069473,          0.07896,          0.30635,        0.149,        0.225,       0.0673,       0.0689
       152, 1693.185,     0.01,         0.099007,          0.10437,          0.41211,        0.153,        0.249,       0.0898,       0.0987,          0.08065,         0.023987,          0.15261,        0.155,        0.242,       0.0204,       0.0231
       153, 1704.242,     0.01,         0.088712,          0.05581,          0.25614,        0.156,        0.253,       0.0425,       0.0555,         0.066932,          0.20506,          0.68211,        0.142,        0.221,        0.175,        0.175
       154, 1715.400,     0.01,         0.090955,          0.16691,          0.59167,        0.156,        0.258,        0.144,        0.153,         0.094195,         0.023609,          0.16502,        0.164,        0.262,       0.0201,       0.0252
       155, 1726.630,     0.01,         0.092699,          0.10003,          0.39279,         0.16,        0.257,       0.0876,        0.103,          0.08202,         0.032887,          0.18068,        0.153,        0.244,        0.028,        0.032
       156, 1737.983,     0.01,         0.091625,         0.079104,          0.32894,        0.155,        0.252,       0.0594,       0.0726,         0.084289,         0.021667,          0.14929,        0.158,        0.247,       0.0185,        0.026
       157, 1749.258,     0.01,          0.12403,          0.11608,          0.47226,        0.167,        0.275,       0.0937,        0.103,          0.12069,         0.068756,          0.32696,        0.174,        0.296,       0.0586,         0.06
       158, 1760.374,     0.01,          0.09162,          0.09822,          0.38628,         0.16,        0.268,        0.074,       0.0846,         0.072254,          0.19692,          0.66302,        0.147,        0.229,        0.168,        0.169
       159, 1771.663,     0.01,         0.089585,          0.11052,          0.42115,        0.157,        0.263,        0.105,        0.131,         0.097113,         0.040253,          0.21787,        0.156,        0.266,       0.0343,       0.0467
       160, 1782.813,     0.01,          0.11316,          0.12302,          0.48221,        0.165,        0.284,       0.0999,        0.131,          0.10923,         0.075058,           0.3344,        0.171,        0.282,        0.064,       0.0647
       161, 1793.843,     0.01,          0.11197,         0.093874,           0.3936,         0.17,        0.291,       0.0859,        0.106,          0.07787,         0.011978,           0.1138,        0.149,        0.238,       0.0102,       0.0143
       162, 1804.845,     0.01,         0.077421,         0.063823,          0.26889,        0.146,        0.244,       0.0548,       0.0838,         0.052993,         0.024258,          0.12577,        0.126,        0.196,       0.0207,       0.0224
